pose_id,repetition,timestamp,cmd_x,cmd_y,cmd_z,cmd_qx,cmd_qy,cmd_qz,cmd_qw,meas_x,meas_y,meas_z,meas_qx,meas_qy,meas_qz,meas_qw,measurement_system,measurement_quality
0,1,1774243875.8327904,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.1980902832858988,-0.006190481999110237,0.21989320276628438,-0.0031209221269154217,-0.18768851019854307,-0.016330550429598457,0.9820878759597816,sim_tf,1.0
0,2,1774243878.9335804,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.20289119003412062,-0.0064438980833414735,0.20558189206513938,-0.002636320410167599,-0.1562411906253721,-0.01666398877688498,0.9875748334403347,sim_tf,1.0
0,3,1774243882.1337035,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.21189221029517316,0.0050523486277581795,0.21536768140805945,0.00207961971469086,-0.16458022384922402,0.01246234519067139,0.986282776414518,sim_tf,1.0
0,4,1774243885.4435465,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.2166273689659545,-0.020399194164421958,0.22926057470645347,-0.00915321011199763,-0.18409033749203876,-0.048809310881430854,0.9816540213119858,sim_tf,1.0
0,5,1774243888.8335793,0.2,0.0,0.22,0.0,0.0,0.0,1.0,0.2075554976320902,0.012765955398874127,0.2114858902245922,0.005247669395917014,-0.1609429206803138,0.03216294049145932,0.9864255590300488,sim_tf,1.0
1,1,1774243892.0811536,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.20160159864844335,-0.0004782871243545003,0.205276786900254,-0.00019828789404684595,-0.15724108958559835,-0.0012455956332947558,0.9875594407018563,sim_tf,1.0
1,2,1774243895.4347851,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.2012274218288261,-0.0018955140556253854,0.23313828162490674,-0.0010415783350245413,-0.20797258040481492,-0.004898851430959302,0.9781218340109744,sim_tf,1.0
1,3,1774243898.7361598,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.20990798747013786,-0.01802571672813065,0.221084066577193,-0.008005472520101274,-0.17615208395810866,-0.04468832843550714,0.9833154677053471,sim_tf,1.0
1,4,1774243901.7508638,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.2209851496055147,-0.01174981631090453,0.19977362609744284,-0.0035366023202482995,-0.12590651716192824,-0.02785472399339646,0.9916446721136726,sim_tf,1.0
1,5,1774243905.1348753,0.225,0.0,0.22,0.0,0.0,0.0,1.0,0.22237039600966907,0.019564554717374998,0.22175264150533913,0.007710277115962804,-0.16616841018484754,0.04570449356573366,0.9850074671551151,sim_tf,1.0
2,1,1774243908.7331767,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.19563575149016282,0.017771448608728573,0.22729958235254732,0.009809450498160415,-0.2031985728755344,0.04721052391091229,0.9779495289095074,sim_tf,1.0
2,2,1774243911.7345986,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.1876958155184184,0.020098070986214037,0.2370253201556182,0.01299302635987769,-0.227908156430015,0.055414494257489726,0.9720176373527746,sim_tf,1.0
2,3,1774243915.1492383,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.18335643669510157,-0.010576007535201846,0.24098212133733313,-0.0073653160503696375,-0.23889954660046442,-0.02992253886754561,0.9705552021504449,sim_tf,1.0
2,4,1774243918.352079,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.19101708869387202,-0.0010480524967895616,0.2137673216849365,-0.0005380727476162465,-0.18383053839655053,-0.002877310580352627,0.9829535923503087,sim_tf,1.0
2,5,1774243921.5578883,0.17500000000000002,0.0,0.22,0.0,0.0,0.0,1.0,0.18266641714076393,-0.015412382906146082,0.23342091620977326,-0.010131022486462481,-0.22482571210560226,-0.04386132418156844,0.9733585905516152,sim_tf,1.0
3,1,1774243924.9565082,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.18180606167785215,0.017381600195229524,0.240413177589108,0.012076954975711467,-0.23658252573169644,0.049529895544012235,0.9702729745408377,sim_tf,1.0
3,2,1774243928.1339278,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.18748045285887413,0.02051068175425879,0.22082186158871442,0.011422240258107222,-0.1961120167975609,0.057011768683862575,0.9788561015423141,sim_tf,1.0
3,3,1774243931.4344404,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.18455416378963893,0.03700948244182539,0.23026845981336894,0.022463689026850867,-0.21185236413895664,0.10302274216617853,0.9715967646511596,sim_tf,1.0
3,4,1774243934.6363883,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.19795287375371212,0.04282989165433943,0.21711205876449843,0.01956663497880589,-0.17212728924676568,0.11124001484915326,0.9785780511479535,sim_tf,1.0
3,5,1774243937.8373692,0.2,0.025,0.22,0.0,0.0,0.0,1.0,0.20962847848827035,0.0471761686966953,0.2069491884513953,0.0165247428819647,-0.14039421733736626,0.11572134589414802,0.9831708736101575,sim_tf,1.0
4,1,1774243941.4340684,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.21467995328820227,-0.0162558912085086,0.20520177727592995,-0.0055183920115015,-0.13782957134741683,-0.03962358713213057,0.9896476786991304,sim_tf,1.0
4,2,1774243944.7335868,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.18862421632867737,-0.03166302648854707,0.24097536300830863,-0.020202273015522788,-0.2271835059503599,-0.08624090996468602,0.9698154609190204,sim_tf,1.0
4,3,1774243947.9413257,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.19235516758250948,-0.0516254314414848,0.2201429832708207,-0.02534047296295651,-0.18061123133537693,-0.13661293244443412,0.9736910958997546,sim_tf,1.0
4,4,1774243951.037357,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.18997771776796046,-0.047909824111774066,0.23204940339845107,-0.027110330871456013,-0.2050069208801445,-0.12826615717557818,0.9699407122472447,sim_tf,1.0
4,5,1774243954.1342845,0.2,-0.025,0.22,0.0,0.0,0.0,1.0,0.1850309145762834,-0.04665886461041236,0.21807704227355762,-0.024851753913742593,-0.18761396595657323,-0.12894226036902084,0.9734255408588703,sim_tf,1.0
